"gs_exact_source"	"size"	"padj"	"ES"
"GO:0002532"	76	0.014645482080123	0.42933998859832
"GO:0002706"	166	0.014645482080123	0.349401551958026
"GO:0050727"	339	0.0148432563358211	0.289902213625741
"GO:0007588"	64	0.0150298149691651	-0.452368920258321
"GO:0097191"	216	0.0150298149691651	0.325765239446478
"GO:0009914"	284	0.0150298149691651	-0.297027062171573
"GO:0022409"	283	0.0150298149691651	0.303991167276145
"GO:0001819"	447	0.0150298149691651	0.275179392062255
"GO:0043405"	185	0.0150298149691651	-0.332331025406772
"GO:1903038"	122	0.0150714271854439	-0.376432107590935
"GO:0007517"	314	0.0151454664314873	0.296604004945092
"GO:0030308"	180	0.0153077387727517	-0.341238017348509
"GO:0098754"	125	0.0156393551668497	0.373977916940517
"GO:0035924"	60	0.0156474801372891	-0.471428495433993
"GO:0050708"	238	0.0156474801372891	-0.311232539426126
"GO:0016079"	104	0.0161686871878815	-0.382930500851211
"GO:0051249"	475	0.0175749382381178	0.269450115938198
"GO:0033059"	53	0.0181069881558376	0.487192430249298
"GO:0045926"	234	0.0181069881558376	0.314692207206524
"GO:0006813"	232	0.0181069881558376	-0.315912750609468
"GO:0050795"	70	0.0181069881558376	-0.444634087866968
"GO:1904062"	319	0.0181099086609446	-0.289035360282183
"GO:0002703"	228	0.0181099086609446	0.316341955422204
"GO:0031589"	352	0.0182973679124505	-0.278878171047471
"GO:0046660"	123	0.0182973679124505	-0.369405524724724
"GO:0007159"	353	0.0182973679124505	-0.281222438230049
"GO:0045055"	228	0.0182973679124505	-0.312170954851349
"GO:2001233"	344	0.0182973679124505	0.286515071666777
"GO:2000514"	60	0.0182973679124505	0.456182711404405
"GO:0010817"	490	0.0182973679124505	-0.257564899935107
"GO:0010810"	206	0.0184588697982212	-0.319124238963221
"GO:0050806"	147	0.0187722720917918	-0.352275090177218
"GO:0007623"	201	0.0196689388758029	-0.324380560178373
"GO:0048332"	69	0.0196689388758029	0.439588432749718
"GO:0010977"	128	0.0196689388758029	-0.361139183701022
"GO:0051047"	297	0.0196689388758029	-0.287801636382726
"GO:0009408"	105	0.0196689388758029	0.390180122125895
"GO:0035148"	151	0.0201730897733193	0.346018026645427
"GO:0070201"	494	0.0204902823723676	-0.261288902276058
"GO:0003279"	102	0.0209705403319644	0.382277191309985
"GO:0032637"	82	0.0209705403319644	0.415681210185446
"GO:0010811"	119	0.0209705403319644	-0.369076353854267
"GO:0030522"	253	0.0214390332362545	0.30106213928001
"GO:0034763"	108	0.0214390332362545	-0.376100962669555
"GO:0002708"	110	0.0214390332362545	0.379241062950438
"GO:1903305"	137	0.0214390332362545	-0.357370662425498
"GO:0045580"	146	0.0214390332362545	0.358479213364454
"GO:0031529"	53	0.0214390332362545	-0.466484204893296
"GO:1904950"	114	0.0226775259977561	-0.374954556418783
"GO:0046545"	108	0.0228782710106404	-0.374607314690943
"GO:0032635"	140	0.0229466347317624	0.364125124598068
"GO:0031345"	174	0.0229466347317624	-0.326340347308712
"GO:0140546"	270	0.0239767787869314	0.298739460810431
"GO:2001237"	94	0.0239767787869314	0.388934801476667
"GO:0009615"	360	0.0239767787869314	0.279158600359158
"GO:0003281"	69	0.0239767787869314	0.434052029336113
"GO:1903707"	97	0.0240400180126782	0.397804200351051
"GO:0022612"	121	0.0249290450772098	0.365626842877588
"GO:0071260"	69	0.0259555377603171	0.431147706814802
"GO:0032609"	109	0.0259555377603171	0.384529525588667
"GO:0099003"	192	0.0264550833280098	-0.316278513270879
"GO:0002274"	222	0.0265792656325327	0.306644188140413
"GO:0060402"	154	0.0266370887117207	-0.332473500413247
"GO:0051053"	97	0.0266370887117207	0.393116651114277
"GO:0007269"	141	0.0266370887117207	-0.337907593487511
"GO:1901216"	84	0.0266370887117207	0.4031164798011
"GO:0002440"	243	0.0266370887117207	0.301469441360047
"GO:0051480"	338	0.0266370887117207	-0.277028376430915
"GO:0017157"	198	0.0266370887117207	-0.321784897558663
"GO:0099177"	403	0.0266370887117207	-0.267776943194042
"GO:0050863"	323	0.0266370887117207	0.280375289262208
"GO:0035710"	91	0.0275797065918176	0.394114673735989
"GO:0007162"	271	0.0275970779510169	-0.291905868220464
"GO:0048661"	79	0.0275970779510169	0.412041237113402
"GO:0072175"	136	0.0284608922621616	0.349805279570757
"GO:0051250"	147	0.0285529959902136	-0.341348047576225
"GO:0045445"	80	0.0285671548774014	0.405805977725778
"GO:0042752"	115	0.0285671548774014	-0.361758591848883
"GO:0071383"	197	0.0286374235757285	0.321294435850374
"GO:0002263"	279	0.0291259326177019	0.290268181227583
"GO:0060326"	292	0.0291259326177019	-0.279012292908739
"GO:0071692"	333	0.0291259326177019	-0.278113440116241
"GO:0090087"	178	0.0291259326177019	-0.323222881806062
"GO:0007498"	125	0.0294268151426486	0.355612738051987
"GO:0051321"	246	0.0298098722527651	-0.29850586208122
"GO:0048732"	428	0.0308679118706383	0.265557873476018
"GO:0016032"	403	0.0308679118706383	0.269333419562195
"GO:0048588"	215	0.0310067677997909	-0.310670720725386
"GO:2001056"	137	0.0310067677997909	0.351639599626712
"GO:2000116"	220	0.0310067677997909	0.31552632387851
"GO:0032386"	315	0.0310067677997909	-0.275426345036953
"GO:0050709"	57	0.031358256770528	-0.444948672621914
"GO:2001244"	53	0.031358256770528	0.459558356202878
"GO:1901653"	344	0.0314673077074996	0.275067081477497
"GO:0097237"	108	0.0321568419268897	0.3617646225303
"GO:0060401"	170	0.0321568419268897	-0.316756000362301
"GO:0072507"	486	0.0321568419268897	-0.251650044983576
"GO:0010563"	398	0.0321568419268897	-0.264186505195902
"GO:0006836"	203	0.0321568419268897	-0.309340056134901
"GO:0051924"	228	0.0321568419268897	-0.29991452469552
"GO:0001505"	209	0.0321568419268897	-0.311399638751595
"GO:0051208"	121	0.0321568419268897	-0.353628820447202
"GO:0061387"	106	0.032626075136231	-0.366275757498322
"GO:0032409"	261	0.032626075136231	-0.283890922714021
"GO:0002221"	166	0.0336408294459898	0.32567766427376
"GO:0032729"	75	0.0336408294459898	0.406825355968596
"GO:2000106"	82	0.0336408294459898	-0.394267611638676
"GO:1904645"	51	0.0336408294459898	0.451467948852786
"GO:0043401"	131	0.0336408294459898	0.345900048240914
"GO:0022408"	176	0.0345746008679916	0.325761949547885
"GO:0018212"	364	0.0347280191041119	-0.265559992482377
"GO:0043410"	461	0.0354417163208953	-0.257541555056522
"GO:0046634"	99	0.0354417163208953	0.376768903796509
"GO:0002534"	52	0.0355244693790617	0.460501964007851
"GO:0090066"	464	0.0355244693790617	-0.252525828649792
"GO:0033077"	75	0.0355244693790617	-0.404002216361378
"GO:0035270"	130	0.0358711773655769	0.343943414142338
"GO:0090130"	293	0.0360893140171558	-0.278430341392919
"GO:0015833"	242	0.0364781782317711	-0.290888228404947
"GO:0070371"	312	0.0364827824298066	-0.275296634089857
"GO:2000242"	61	0.0364827824298066	0.429726944896476
"GO:0032413"	64	0.0369820421228505	-0.419167555835084
"GO:0019722"	194	0.0370520663375967	-0.310245108996314
"GO:1903131"	417	0.0370520663375967	-0.257619643033189
"GO:0110149"	95	0.037300016092433	-0.366263505850994
"GO:0034605"	64	0.03793177246036	0.416870645715819
"GO:0031016"	79	0.0385595207656527	0.396081994089222
"GO:0002833"	172	0.0385595207656527	0.319354787014339
"GO:0070997"	340	0.0389327591630991	0.272522162889453
"GO:1903039"	237	0.0389327591630991	0.298388647970706
"GO:0046686"	57	0.0390991281821553	0.443884264925229
"GO:0030278"	111	0.039922153730374	-0.351638791204182
"GO:2000241"	165	0.0407822567694649	0.314146087485931
"GO:2000300"	53	0.0419962795121589	-0.440358079845657
"GO:2000177"	81	0.0423202005018896	0.394120479569217
"GO:0030595"	222	0.0435266825854315	-0.293350585835455
"GO:0050920"	210	0.0438732326060161	-0.294894360762027
"GO:0010952"	179	0.0439608762068487	0.310505638311297
"GO:0002831"	325	0.0439608762068487	0.272324757211275
"GO:0045661"	50	0.0442260109478398	0.45006832586618
"GO:0002637"	68	0.0443959123370606	0.407820999159503
"GO:0001649"	218	0.0452520126464354	0.302998440279665
"GO:0052547"	424	0.0452520126464354	0.261795098659599
"GO:0009755"	185	0.0453841369546208	0.30938486759708
"GO:0070588"	291	0.0456595509106045	-0.274980742226266
"GO:0002821"	108	0.0456595509106045	0.350194162593883
"GO:0032088"	85	0.0471221062706776	0.378456404162528
"GO:0042886"	282	0.0476606082696696	-0.279817612859917
"GO:0050864"	162	0.0476606082696696	0.31960457100335
"GO:0030500"	74	0.0476899602406188	-0.395996627401815
"GO:0008016"	196	0.0476899602406188	-0.301474091898958
"GO:0070661"	315	0.0477884046476752	0.270454247339637
"GO:0070252"	99	0.0493703385957615	-0.359105376191596
"GO:0007140"	50	0.0493703385957615	-0.439184393065966
"GO:0034765"	449	0.0493703385957615	-0.250942123295162
"GO:0003014"	113	0.0493703385957615	-0.341901212023042
"GO:0006979"	406	0.0493703385957615	-0.255674005964674
"GO:0010522"	94	0.0494926147334427	-0.363131348007058
